A9 18
16 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 12 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 1 17
17 2 5,6,7,8,10,11,12,13,14,16,17,18
17 3 5,6,7,8,9,10,11,12,13,14,15,16,18
17 4 5,6,8,9,10,11,12,13,14,15,16,17,18
17 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 6 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 7 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 9 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 15 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17 18 1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 1 18
18 2 5,6,7,8,10,11,12,13,14,16,17,18
18 3 5,6,7,8,9,10,11,12,13,14,15,16,17
18 4 5,6,8,9,10,11,12,13,14,15,16,17,18
18 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 6 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 7 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 9 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 15 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 17 1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
