J2 21
18 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 1 19
19 2 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 3 3,5,9,10,11,12,13,14,15,16,17,18,19,20,21
19 4 2,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
19 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 6 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 7 2,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 8 2,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
19 9 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19 19 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
