PerfectGroup(30720,11) |Phi|=512 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(30720,12) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,13) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,14) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,15) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,16) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,17) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,18) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,19) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,20) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,21) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,22) |Phi|=512 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,23) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,24) |Phi|=32 violated by |a|=4 |b|=5 |ab|=5
PerfectGroup(30720,25) |Phi|=32 violated by |a|=4 |b|=5 |ab|=10
PerfectGroup(30720,26) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,27) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,28) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,29) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,30) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,31) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,32) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,33) |Phi|=32 violated by |a|=4 |b|=5 |ab|=5
PerfectGroup(30720,34) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
