order 1320 SL(2,11) |G|=1320 violated by |a|=5 |b|=11 |ab|=5
order 1320 C11 x SL(2,5) |G|=1320 violated by |a|=5 |b|=3 |ab|=4
order 1320 PSL(2,11) : C2 |G|=1320 violated by |a|=5 |b|=11 |ab|=5
order 1320 C2 x PSL(2,11) |G|=1320 violated by |a|=3 |b|=2 |ab|=3
order 1320 C11 x S5 |G|=1320 violated by |a|=3 |b|=2 |ab|=3
order 1320 C11 : S5 |G|=1320 violated by |a|=3 |b|=2 |ab|=3
order 1320 D22 x A5 |G|=1320 violated by |a|=3 |b|=2 |ab|=2
order 1320 C22 x A5 |G|=1320 violated by |a|=3 |b|=2 |ab|=2
order 1380 C23 x A5 |G|=1380 violated by |a|=3 |b|=2 |ab|=2
done 1400
order 1500 C25 x A5 |G|=1500 violated by |a|=3 |b|=2 |ab|=2
order 1500 C5 x C5 x A5 |G|=1500 violated by |a|=3 |b|=2 |ab|=2
order 1512 C9 x PSL(3,2) |G|=1512 violated by |a|=2 |b|=3 |ab|=3
order 1512 PSL(2,8) : C3 |G|=1512 violated by |a|=7 |b|=2 |ab|=7
order 1512 C3 x PSL(2,8) |G|=1512 violated by |a|=7 |b|=2 |ab|=7
order 1512 C3 x C3 x PSL(3,2) |G|=1512 violated by |a|=2 |b|=3 |ab|=3
order 1560 C13 x SL(2,5) |G|=1560 violated by |a|=5 |b|=4 |ab|=4
order 1560 C13 : S5 |G|=1560 violated by |a|=3 |b|=2 |ab|=3
order 1560 C13 x S5 |G|=1560 violated by |a|=3 |b|=2 |ab|=3
order 1560 A5 x D26 |G|=1560 violated by |a|=3 |b|=2 |ab|=2
order 1560 C26 x A5 |G|=1560 violated by |a|=3 |b|=2 |ab|=2
order 1620 C27 x A5 |G|=1620 violated by |a|=3 |b|=2 |ab|=2
order 1620 C3 x C9 x A5 |G|=1620 violated by |a|=3 |b|=2 |ab|=2
order 1620 ((C3 x C3) : C3) x A5 |G|=1620 violated by |a|=3 |b|=2 |ab|=2
order 1620 (C9 : C3) x A5 |G|=1620 violated by |a|=3 |b|=2 |ab|=2
order 1620 C3 x C3 x C3 x A5 |G|=1620 violated by |a|=3 |b|=2 |ab|=2
order 1680 C5 x SL(2,7) |G|=1680 violated by |a|=3 |b|=7 |ab|=3
order 1680 C7 x (A5 : C4) |G|=1680 violated by |a|=3 |b|=2 |ab|=3
order 1680 C7 x (C2 . S5 = SL(2,5) . C2) |G|=1680 violated by |a|=5 |b|=
3 |ab|=10
order 1680 C7 x (SL(2,5) : C2) |G|=1680 violated by |a|=5 |b|=4 |ab|=6
order 1680 C7 : (A5 : C4) |G|=1680 violated by |a|=3 |b|=2 |ab|=3
order 1680 C7 : (C2 . S5 = SL(2,5) . C2) |G|=1680 violated by |a|=5 |b|=
4 |ab|=3
order 1680 C7 : (SL(2,5) : C2) |G|=1680 violated by |a|=3 |b|=4 |ab|=4
order 1680 (C7 : C4) x A5 |G|=1680 violated by |a|=3 |b|=2 |ab|=2
order 1680 D14 x SL(2,5) |G|=1680 violated by |a|=5 |b|=4 |ab|=5
order 1680 C7 : (SL(2,5) : C2) |G|=1680 violated by |a|=5 |b|=4 |ab|=4
order 1680 C28 x A5 |G|=1680 violated by |a|=3 |b|=2 |ab|=2
order 1680 C7 x (SL(2,5) : C2) |G|=1680 violated by |a|=5 |b|=4 |ab|=6
order 1680 C14 x SL(2,5) |G|=1680 violated by |a|=5 |b|=4 |ab|=3
order 1680 C5 : (PSL(3,2) : C2) |G|=1680 violated by |a|=3 |b|=7 |ab|=3
order 1680 C5 x (PSL(3,2) : C2) |G|=1680 violated by |a|=3 |b|=7 |ab|=3
order 1680 D10 x PSL(3,2) |G|=1680 violated by |a|=2 |b|=3 |ab|=3
order 1680 S5 x D14 |G|=1680 violated by |a|=3 |b|=2 |ab|=3
order 1680 C10 x PSL(3,2) |G|=1680 violated by |a|=2 |b|=3 |ab|=3
order 1680 C2 x (C7 : S5) |G|=1680 violated by |a|=3 |b|=2 |ab|=3
order 1680 C14 x S5 |G|=1680 violated by |a|=3 |b|=2 |ab|=3
order 1680 C2 x A5 x D14 |G|=1680 violated by |a|=3 |b|=2 |ab|=2
order 1680 C2 x C14 x A5 |G|=1680 violated by |a|=3 |b|=2 |ab|=2
order 1740 C29 x A5 |G|=1740 violated by |a|=3 |b|=2 |ab|=2
order 1800 C15 x SL(2,5) |G|=1800 violated by |a|=5 |b|=4 |ab|=3
order 1800 C5 x A6 |G|=1800 violated by |a|=3 |b|=2 |ab|=3
order 1800 C5 x (A5 : S3) |G|=1800 violated by |a|=3 |b|=2 |ab|=3
order 1800 C3 x (C5 : S5) |G|=1800 violated by |a|=3 |b|=2 |ab|=3
order 1800 A5 : D30 |G|=1800 violated by |a|=3 |b|=2 |ab|=3
order 1800 C15 x S5 |G|=1800 violated by |a|=3 |b|=2 |ab|=3
order 1800 C5 x S3 x A5 |G|=1800 violated by |a|=3 |b|=2 |ab|=2
order 1800 C3 x D10 x A5 |G|=1800 violated by |a|=3 |b|=2 |ab|=2
order 1800 D30 x A5 |G|=1800 violated by |a|=3 |b|=2 |ab|=2
order 1800 C30 x A5 |G|=1800 violated by |a|=3 |b|=2 |ab|=2
done 1800
order 1848 C11 x PSL(3,2) |G|=1848 violated by |a|=2 |b|=3 |ab|=2
order 1860 C31 x A5 |G|=1860 violated by |a|=3 |b|=2 |ab|=2
order 1980 C3 x PSL(2,11) |G|=1980 violated by |a|=3 |b|=2 |ab|=3
order 1980 C33 x A5 |G|=1980 violated by |a|=3 |b|=2 |ab|=2
done 2000
FINISHED
